"",index,raw data name,raw data name round,RAMClustR mz_rt,RAMClustR adduct
"141",141,180.063477321305 / 450.364379882812,180.063 / 450.4,,
"142",142,180.085046479155 / 189.300018310547,180.085 / 189.3,,
"143",143,180.078689898148 / 766.799987792969,180.079 / 766.8,180.079 / 766.8,[M+H-NH3-CO2-CH2O]+
"144",144,180.182146157538 / 450.50358581543,180.182 / 450.5,,
"145",145,180.263388198542 / 450.308502197266,180.263 / 450.3,180.263 / 450.3,
"146",146,180.315546902205 / 450.299987792969,180.316 / 450.3,180.316 / 450.3,
"147",147,180.469348821146 / 450.300018310547,180.469 / 450.3,180.469 / 450.3,
"148",148,181.058890932384 / 298.200012207031,181.059 / 298.2,,
"149",149,181.067156870322 / 450.299987792969,181.067 / 450.3,181.067 / 450.3,
"150",150,181.070115584192 / 166.199996948242,181.07 / 166.2,,
"151",151,181.07024900749 / 269.100006103516,181.07 / 269.1,,
"152",152,181.083360384615 / 766.799987792969,181.083 / 766.8,,
"153",153,182.061989996228 / 298.199981689453,182.062 / 298.2,,
"154",154,182.079243412911 / 70.7999954223633,182.079 / 70.8,,
"155",155,182.066240425441 / 82.5226058959961,182.066 / 82.5,,
"156",156,182.079346918741 / 527.700012207031,182.079 / 527.7,,
"157",157,182.068933328447 / 450.299987792969,182.069 / 450.3,182.069 / 450.3,
"158",158,182.98396807255 / 1.79999995231628,182.984 / 1.8,182.984 / 1.8,
"159",159,182.98420910108 / 26.3999996185303,182.984 / 26.4,,
"160",160,182.984242821645 / 21.6000003814697,182.984 / 21.6,,
"161",161,182.983969265585 / 32.4000015258789,182.984 / 32.4,,
"162",162,183.049764564375 / 92.0999984741211,183.05 / 92.1,183.05 / 92.1,[M+H]+
"163",163,183.079094513341 / 1368.59997558594,183.079 / 1368.6,,
"164",164,183.082981705752 / 70.7999954223633,183.083 / 70.8,,
"165",165,183.110776986213 / 97.1999969482422,183.111 / 97.2,,
"166",166,184.058697879144 / 86.000789642334,184.059 / 86,,
"167",167,184.095141300076 / 620.699951171875,184.095 / 620.7,,
"168",168,184.615510279845 / 482.099975585938,184.616 / 482.1,184.616 / 482.1,[M+H]+
"169",169,185.126385250712 / 210,185.126 / 210,185.126 / 210,[M+H]+
"170",170,185.116739372595 / 482.100006103516,185.117 / 482.1,185.117 / 482.1,
"171",171,185.115087388583 / 652.499938964844,185.115 / 652.5,185.115 / 652.5,[M+H-H2O]+
"172",172,186.017038820973 / 39.2999992370605,186.017 / 39.3,,
"173",173,186.110720033519 / 642.899963378906,186.111 / 642.9,,
"174",174,186.129065892893 / 210,186.129 / 210,186.129 / 210,
"175",175,186.182643751869 / 1305.59997558594,186.183 / 1305.6,186.183 / 1305.6,[M+H]+
"176",176,187.124071632339 / 1035,187.124 / 1035,,
"177",177,187.186308182616 / 1305.59997558594,187.186 / 1305.6,187.186 / 1305.6,
"178",178,188.068967746349 / 280.799987792969,188.069 / 280.8,188.069 / 280.8,[M+H]+
"179",179,188.100476200848 / 60.9000015258789,188.1 / 60.9,,
"180",180,188.173734573499 / 45.2999992370605,188.174 / 45.3,,
"181",181,189.073726792555 / 332.099975585938,189.074 / 332.1,,
"182",182,189.071399592787 / 280.799987792969,189.071 / 280.8,189.071 / 280.8,
"183",183,189.086621439966 / 60.2999992370605,189.087 / 60.3,,
"184",184,189.132986262598 / 48.2999992370605,189.133 / 48.3,,
"185",185,189.158294935037 / 44.7000007629395,189.158 / 44.7,,
"186",186,190.047939588552 / 407.700012207031,190.048 / 407.7,,
"187",187,190.075985040531 / 68.0999984741211,190.076 / 68.1,190.076 / 68.1,[M+H-C2H6]+
"188",188,192.060566929581 / 39,192.061 / 39,,
"189",189,192.063303689003 / 430.5,192.063 / 430.5,,
"190",190,192.063031630125 / 615.299987792969,192.063 / 615.3,,
"191",191,192.102984382243 / 533.400024414062,192.103 / 533.4,,
"192",192,193.094829097937 / 57.2999992370605,193.095 / 57.3,,
"193",193,193.10565873912 / 533.699981689453,193.106 / 533.7,,
"194",194,193.152843587613 / 49.0426368713379,193.153 / 49,,
"195",195,194.078830562283 / 619.5,194.079 / 619.5,,
"196",196,194.101527127866 / 126.599998474121,194.102 / 126.6,194.102 / 126.6,[M+H- C5H10O5+H2O]+
"197",197,194.093783019613 / 879.376403808594,194.094 / 879.4,194.094 / 879.4,
"198",198,195.074273149678 / 196.5,195.074 / 196.5,,
"199",199,195.08548676525 / 504.299987792969,195.085 / 504.3,,
"200",200,195.131671191928 / 52.5,195.132 / 52.5,,
"201",201,196.05901055325 / 192,196.059 / 192,,
"202",202,196.058449097357 / 249,196.058 / 249,,
"203",203,196.058574821919 / 631.5,196.059 / 631.5,,
"204",204,196.058374526364 / 548.100036621094,196.058 / 548.1,,
"205",205,197.064562810101 / 236.399993896484,197.065 / 236.4,,
"206",206,197.064786504262 / 151.199996948242,197.065 / 151.2,,
"207",207,197.078517620579 / 839.100036621094,197.079 / 839.1,,
"208",208,197.062078434487 / 249.300003051758,197.062 / 249.3,,
"209",209,197.126072571338 / 464.100006103516,197.126 / 464.1,,
"210",210,198.067246460037 / 236.100006103516,198.067 / 236.1,,
"211",211,199.080172876712 / 60.3000030517578,199.08 / 60.3,,
"212",212,199.094295457557 / 766.799987792969,199.094 / 766.8,,
"213",213,199.083368229901 / 106.5,199.083 / 106.5,,
"214",214,199.105722451539 / 115.199996948242,199.106 / 115.2,,
"215",215,200.053010519555 / 126.89998626709,200.053 / 126.9,,
"216",216,200.089822944768 / 102.299995422363,200.09 / 102.3,,
"217",217,200.089598909889 / 92.4000015258789,200.09 / 92.4,,
"218",218,201.1095841405 / 692.099975585938,201.11 / 692.1,201.11 / 692.1,[M+H-H2O]+
"219",219,201.585540013592 / 155.849990844727,201.586 / 155.8,,
"220",220,202.045381604908 / 451.799987792969,202.045 / 451.8,,
"221",221,202.095849098842 / 503.699981689453,202.096 / 503.7,,
"222",222,202.116649014928 / 66,202.117 / 66,,
"223",223,202.140262213491 / 990.299987792969,202.14 / 990.3,,
"224",224,203.079969241644 / 93.6000061035156,203.08 / 93.6,203.08 / 93.6,[M+H-H2O]+
"225",225,203.10796439736 / 843,203.108 / 843,,
"226",226,203.125464896741 / 652.5,203.125 / 652.5,203.125 / 652.5,[M+H]+
"227",227,203.137211876875 / 57.9000015258789,203.137 / 57.9,,
"228",228,204.084843869321 / 99.2999954223633,204.085 / 99.3,,
"229",229,204.083160031932 / 929.700012207031,204.083 / 929.7,,
"230",230,204.110303476776 / 643.799987792969,204.11 / 643.8,,
"231",231,204.11057836334 / 256.200012207031,204.111 / 256.2,204.111 / 256.2,[M+H]+
